song_id	genius_url	artist_name	song_name
32462	Eden-sex-lyrics	Eden	sex
32463	Eden-fumes-lyrics	Eden	fumes
32464	Eden-end-credits-lyrics	Eden	end credits
32465	Eden-circles-lyrics	Eden	circles
32468	Eden-gold-lyrics	Eden	gold
32470	Eden-icarus-lyrics	Eden	icarus
32471	Eden-and-lyrics	Eden	and
32472	Eden-wings-lyrics	Eden	wings
32473	Eden-falling-in-reverse-lyrics	Eden	falling in reverse
32474	Eden-nocturne-lyrics	Eden	nocturne
32476	Eden-float-lyrics	Eden	float
32477	Eden-wrong-lyrics	Eden	wrong
32478	Eden-wonder-lyrics	Eden	wonder
32479	Eden-909-lyrics	Eden	909
32481	Eden-catch-me-if-you-can-lyrics	Eden	catch me if you can
32483	Eden-nowhere-else-lyrics	Eden	nowhere else
32484	Ato-notion-lyrics	Ato	notion
32485	Eden-about-time-lyrics	Eden	about time
32486	Ato-94-dreaming-lyrics	Ato	94 dreaming
32487	Ato-monster-lyrics	Ato	monster
32488	Ato-heaven-lyrics	Ato	heaven
32489	Ato-space-lyrics	Ato	space
32490	Ato-reflection-lyrics	Ato	reflection
32492	Ato-darkroom-lyrics	Ato	darkroom
32493	Ato-you-know-lyrics	Ato	you know
32495	Ato-lifetime-lyrics	Ato	lifetime
32496	Eden-untitled-lyrics	Eden	untitled
32497	Lil-dicky-molly-lyrics	Lil dicky	molly
32498	Lil-dicky-pillow-talking-lyrics	Lil dicky	pillow talking
32499	Lil-dicky-lemme-freak-lyrics	Lil dicky	lemme freak
32500	Lil-dicky-russell-westbrook-on-a-farm-lyrics	Lil dicky	russell westbrook on a farm
32501	Lil-dicky-bruh-lyrics	Lil dicky	bruh
32502	Lil-dicky-ex-boyfriend-lyrics	Lil dicky	ex boyfriend
32504	Lil-dicky-too-high-lyrics	Lil dicky	too high
32505	Lil-dicky-white-dude-lyrics	Lil dicky	white dude
32507	Lil-dicky-personality-lyrics	Lil dicky	personality
32508	Lil-dicky-white-crime-lyrics	Lil dicky	white crime
32510	Lil-dicky-jewish-flow-lyrics	Lil dicky	jewish flow
32511	Lil-dicky-lion-king-lyrics	Lil dicky	lion king
32512	Lil-dicky-make-belief-lyrics	Lil dicky	make belief
32513	Lil-dicky-classic-male-pregame-lyrics	Lil dicky	classic male pregame
32514	Lil-dicky-who-knew-lyrics	Lil dicky	who knew
32517	Lil-dicky-all-k-lyrics	Lil dicky	all k
32518	Lil-dicky-oh-well-lyrics	Lil dicky	oh well
32520	Lil-dicky-the-cypher-lyrics	Lil dicky	the cypher
32521	Lil-dicky-sports-lyrics	Lil dicky	sports
32524	Lil-dicky-really-scared-lyrics	Lil dicky	really scared
32525	Lil-dicky-bars-lyrics	Lil dicky	bars
32526	Lil-dicky-truman-lyrics	Lil dicky	truman
